FPL_points,FPL_points_2,FPL_points_4,FPL_pos,GW,Min_2,Min_4,Name_original,Opp_rating,Opp_score_2,Opp_score_4,Opponent,Player_CS_2,Player_CS_4,Saves_2,Saves_4,Season,Start_2,Start_4,Team,Team_rating,Team_result_2,Team_result_4,Was_home
0.0,0.0,0.75,GK,2,45.0,45.0,Alex McCarthy,1710.82556152,4.0,3.0,Leeds United,0.0,0.0,1.0,1.25,2022-23,0.5,0.5,Southampton,1667.04992676,0.0,0.25,1.0
0.0,0.0,0.0,GK,3,0.0,22.5,Alex McCarthy,1769.99645996,3.0,3.25,Leicester City,0.0,0.0,0.0,0.5,2022-23,0.0,0.25,Southampton,1667.20275879,0.5,0.25,0.0
0.0,0.0,0.0,GK,4,0.0,22.5,Alex McCarthy,1795.56494141,1.5,2.75,Manchester Utd,0.0,0.0,0.0,0.5,2022-23,0.0,0.25,Southampton,1679.48901367,2.0,1.0,1.0
0.0,0.0,0.0,GK,5,0.0,0.0,Alex McCarthy,1885.98669434,1.0,2.0,Chelsea,0.0,0.0,0.0,0.0,2022-23,0.0,0.0,Southampton,1673.12927246,1.5,1.0,1.0
0.0,0.0,0.0,GK,6,0.0,0.0,Alex McCarthy,1711.40002441,1.0,1.25,Wolves,0.0,0.0,0.0,0.0,2022-23,0.0,0.0,Southampton,1685.11743164,1.5,1.75,0.0
0.0,0.0,0.0,GK,8,0.0,0.0,Alex McCarthy,1710.46569824,1.0,1.0,Aston Villa,0.0,0.0,0.0,0.0,2022-23,0.0,0.0,Southampton,1670.00195312,1.5,1.5,0.0
0.0,0.0,0.0,GK,9,0.0,0.0,Alex McCarthy,1697.17871094,1.0,1.0,Everton,0.0,0.0,0.0,0.0,2022-23,0.0,0.0,Southampton,1664.45080566,0.0,0.75,1.0
0.0,0.0,0.0,GK,10,0.0,0.0,Alex McCarthy,2042.42578125,1.5,1.25,Manchester City,0.0,0.0,0.0,0.0,2022-23,0.0,0.0,Southampton,1662.40039062,0.0,0.75,0.0
0.0,0.0,0.0,GK,11,0.0,0.0,Alex McCarthy,1783.41455078,3.0,2.0,West Ham,0.0,0.0,0.0,0.0,2022-23,0.0,0.0,Southampton,1666.67346191,0.0,0.0,1.0
0.0,0.0,0.0,GK,12,0.0,0.0,Alex McCarthy,1662.43212891,2.5,2.0,Bournemouth,0.0,0.0,0.0,0.0,2022-23,0.0,0.0,Southampton,1668.3659668,0.5,0.25,0.0
0.0,0.0,0.0,GK,13,0.0,0.0,Alex McCarthy,1916.25061035,0.5,1.75,Arsenal,0.0,0.0,0.0,0.0,2022-23,0.0,0.0,Southampton,1678.4329834,2.0,1.0,1.0
0.0,0.0,0.0,GK,14,0.0,0.0,Alex McCarthy,1751.39880371,0.5,1.5,Crystal Palace,0.0,0.0,0.0,0.0,2022-23,0.0,0.0,Southampton,1681.18395996,2.0,1.25,0.0
0.0,0.0,0.0,GK,15,0.0,0.0,Alex McCarthy,1823.61816406,1.0,0.75,Newcastle Utd,0.0,0.0,0.0,0.0,2022-23,0.0,0.0,Southampton,1684.6809082,0.5,1.25,1.0
0.0,0.0,0.0,GK,16,0.0,0.0,Alex McCarthy,1997.9251709,2.5,1.5,Liverpool,0.0,0.0,0.0,0.0,2022-23,0.0,0.0,Southampton,1674.64526367,0.0,1.0,0.0
0.0,0.0,0.0,GK,27,0.0,0.0,Alex McCarthy,1886.4855957,3.5,2.25,Manchester Utd,0.0,0.0,0.0,0.0,2022-23,0.0,0.0,Southampton,1657.22021484,0.0,0.25,0.0
0.0,0.0,0.0,GK,28,0.0,0.0,Alex McCarthy,1855.05078125,1.5,2.0,Tottenham,0.0,0.0,0.0,0.0,2022-23,0.0,0.0,Southampton,1658.18591309,0.5,0.25,1.0
